name;description;link;chapterOrderNumber;subchapterOrderNumber
History of JavaScript;This video is about javascript.;https://www.youtube.com/watch?v=4MsfBokJiSs;1;1
Ovládání JavaScript - co je to JavaScript;This video introduces what HTML, CSS and JavaScript are. It explains the difference between them. ;https://www.youtube.com/watch?v=A3GjzmUoeSs;1;1
What is JavaScript?;What is JavaScript and what is JavaScript used for?;https://www.youtube.com/watch?v=afSbBjAaqeM;1;1
Convert decimal to binary;Learn how to convert decimal to binary in javascript. Learn the power of for loop in javascript.;https://www.youtube.com/watch?v=UaYkmkBZIAM&t=284s;2;1
Primary Math to convert decimal to binary;This video will teach you how to convert number systems in HTML and JavaScript.;https://www.youtube.com/watch?v=cnb1c8ciN9s;2;1
Converting decimal numbers to binary;This video shows how to convert numbers. Converting decimal numbers to binary, octal and hexadecimal numbers.;https://www.youtube.com/watch?v=Xzi4-26vdOM;2;1
Bites, Bytes, Kilobytes, Megabytes;This video learn about digital storage terminology. Digital storage uses the binary system, where everything is saved as ones and zeros.;https://www.youtube.com/watch?v=u4P0LOofEFs;2;2
How many Bytes are in a Gigabyte?;What is a Gigabyte, Terabyte, or a Petabyte? These terms tell us how much digital information you can store. ;https://www.youtube.com/watch?v=lo2McnYcTTQ;2;2
Unicode UTF-32, UTF-16;This video explain the encoding formats.;https://www.youtube.com/watch?v=uTJoJtNYcaQ;2;3
Understanding ASCII and Unicode;A short tutorial which explains what ASCII and Unicode are, how they work, and what the difference is between them.;https://www.youtube.com/watch?v=5aJKKgSEUnY;2;3
JavaScript Variables Explained;In this video you will learn about the variables let, var and const and their differences from each other with a few simple examples. ;https://www.youtube.com/watch?v=J0y6XXdm4KI;3;1
Proměnné v JavaScriptu;In this video you will learn about the variables let, var and const and their differences from each other with a few simple examples. ;https://www.youtube.com/watch?v=1-Qp3xA36XM;3;1
Javascript III - proměnné;How to use variables and what they actually are. In general, but also directly for Javascript.;https://www.youtube.com/watch?v=wRns-gHaQhw;3;1
Variables in JavaScript;This video is about variables and how to work with them. ;https://www.youtube.com/watch?v=TOkU5HxES1o;3;1
